"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_3310481",7.98034113712374,106.56005988024,4.65271442714659,6.67191793010041e-06,4.28048400607662e-05,2.89944943253376,"MIR658"
"ILMN_2367710",56.2851371237458,269.564610778443,4.65265807394525,6.67353066958461e-06,4.2808857390831e-05,2.89926075053438,"PKN1"
"ILMN_1796179",2577.50517391304,6936.54371257485,4.65262933202769,6.67435336269708e-06,4.2808857390831e-05,2.89916451737629,"HIST1H2BK"
"ILMN_1708160",45.3726622073579,202.737724550898,4.65238587157291,6.68132597090184e-06,4.28477717299115e-05,2.89834938485414,"KPNA2"
"ILMN_2078074",-13.5563444816053,134.67748502994,-4.65177020431051,6.69898981649813e-06,4.29552298233502e-05,2.89628820071775,"MUT"
"ILMN_1683345",13.2482207357859,118.110718562874,4.65157600036926,6.70457098429514e-06,4.29851928084019e-05,2.89563806897578,"HFE"
"ILMN_1863994",-142.93670735786,338.046107784431,-4.65051002581846,6.73528572145313e-06,4.31762653631272e-05,2.89206988264843,"LRRC3DN"
"ILMN_1803564",143.497954849498,629.544610778443,4.65022774102403,6.74344212622258e-06,4.32226965050934e-05,2.89112507687039,"YIPF1"
"ILMN_1799357",-9.26152842809365,122.501916167665,-4.65011903033331,6.74658578114925e-06,4.32357515965374e-05,2.89076123382765,""
"ILMN_2153495",-10.1058662207358,123.498562874251,-4.65009412329658,6.74730623262814e-06,4.32357515965374e-05,2.89067787351062,"WNT7B"
"ILMN_1711772",-8.79654515050168,121.823652694611,-4.64976739106855,6.75676404407607e-06,4.32904939200877e-05,2.88958437708934,""
"ILMN_1876924",210.540165551839,974.651017964072,4.64906538340647,6.77712813269923e-06,4.34150883302549e-05,2.88723510990714,"WNK1"
"ILMN_2344283",-2733.10588963211,6790.70994011976,-4.6488874259938,6.78229978915394e-06,4.3442337658682e-05,2.88663961665712,"FMO3"
"ILMN_1651617",16.0658244147157,134.466946107784,4.64854307777217,6.79231778132672e-06,4.3500617410738e-05,2.88548738205113,"CTNNB1"
"ILMN_2307744",69.1319080267559,264.826766467066,4.64823964159858,6.8011573713351e-06,4.35513354704086e-05,2.88447209585564,""
"ILMN_1677404",477.950904682274,918.181137724551,4.64652868093693,6.85120863639672e-06,4.38659038143101e-05,2.87874818446985,"RAP2A"
"ILMN_1809566",60.5370735785953,234.291437125749,4.64615969608237,6.86204917175419e-06,4.39293683584621e-05,2.87751396917753,"ZSCAN16"
"ILMN_1795836",146.843675585284,489.53874251497,4.64562957243881,6.87765284297307e-06,4.40233041843868e-05,2.87574088614028,"YBEY"
"ILMN_1670816",6.52046488294314,105.164371257485,4.64524472622916,6.88900186282811e-06,4.40899846027525e-05,2.87445379858954,"MZF1"
"ILMN_1775011",-31.8406036789298,180.122874251497,-4.64502025423186,6.89562983025661e-06,4.4126436082137e-05,2.87370310555978,"NOL10"
"ILMN_1669303",-23.6721722408027,164.075149700599,-4.64481515306386,6.90169121714256e-06,4.41592525388886e-05,2.87301721665618,""
"ILMN_3238053",-704.085324414716,1614.65467065868,-4.64466248580634,6.90620635454446e-06,4.41821680559352e-05,2.87250668883667,""
"ILMN_1715384",98.2050635451505,375.782395209581,4.64459218539838,6.90828644911405e-06,4.41895013983476e-05,2.87227160444752,"B4GAT1"
