"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","13/2057","23/9399",0.565217391304348,2.58263405973241,4.02219667527658,0.000311082508666489,0.00329935994040216,0.00240133866339044,"4843/1373/5009/384/790/2744/383/2805/2806/445/27165/2752/2746",13
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","31/2057","79/9399",0.392405063291139,1.79300689833418,3.74636623679032,0.000346819733113476,0.00357020313499166,0.00259846363509168,"27294/6822/218/7365/1571/222/2944/2949/54490/1559/1544/874/1576/22977/2941/7364/130/10941/124/125/1555/1572/127/10720/54658/54576/54575/2939/54577/126/1548",31
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","28/2057","70/9399",0.4,1.82771025765678,3.67906522133102,0.000457418630496559,0.00457418630496559,0.00332918221293736,"64816/5743/6822/1562/7365/1571/2944/2949/54490/1559/1558/1544/1646/10/1576/1557/2941/7364/9/10941/6817/10720/54658/54576/54575/2939/54577/1548",28
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","50/2057","149/9399",0.335570469798658,1.53331397454428,3.47322491451295,0.000630298826836765,0.00612790526091299,0.00446000924252916,"2556/5743/779/2775/2568/3710/5332/2564/2557/2570/2566/1268/2891/3762/5582/2792/747/2569/774/775/2555/2911/114/5603/3763/3765/2565/2560/57406/5579/2786/2915/112/246213/2567/23236/200959/5600/56901/51079/2563/6300/4541/4536/4540/4537/4538/4535/4539/55879",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","89/2057","298/9399",0.298657718120805,1.36464943734441,3.38584286388188,0.000665250707107914,0.00629291209426405,0.00458010444153955,"10344/920/3604/4804/2920/3568/3589/3560/655/268/6387/1440/6347/112744/653/2690/3977/6364/9173/8809/656/7292/8600/3624/3598/130399/3623/652/3553/27178/8744/970/8200/27190/55504/60401/6370/3572/269/3569/3586/3557/90865/658/29949/85480/9547/392255/4838/27302/3577/6374/5473/5196/1230/133396/285613/4982/3592/53342/2829/10803/3952/3626/1237/3579/6357/9966/282618/1436/1232/353500/9573/2826/3563/7293/8784/284340/3556/246778/386653/64109/8718/2658/2662/6368/6351/6359/6348",89
NA,NA,"hsa04081","Hormone signaling","68/2057","219/9399",0.310502283105023,1.41877051964225,3.31897891804426,0.000902029413533316,0.00830816565096475,0.00604684537604051,"799/2696/3479/153/1815/2984/2775/5744/2099/5332/5020/2862/3972/268/5296/57817/1395/2692/887/796/2740/2690/7433/2641/148/4879/4987/554/2792/2847/10267/269/658/53919/185/90226/6567/2796/114/9630/6750/2695/5745/3060/6755/7349/552/3481/2786/154/1816/147/146/112/3952/797/5021/9370/23236/152/2520/6714/2980/553/1734/2642/151/6753",68
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","15/2057","31/9399",0.483870967741935,2.21093982781062,3.57443698686488,0.000980292902504349,0.00879750040709031,0.00640299277749129,"23417/218/217/1962/4329/35/1892/2571/222/219/339896/1807/84735/18/1806",15
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","21/2057","50/9399",0.42,1.91909577053962,3.44898150883369,0.00109099041126309,0.00954616609855203,0.00694788630330704,"26/4843/8974/384/65263/1610/217/79814/383/2805/2806/1160/219/84735/8659/1152/2628/5831/1159/112817/58510",21
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","40/2057","116/9399",0.344827586206897,1.57561229108343,3.30173759158241,0.00117641834561511,0.0100425956332997,0.00730919742333394,"9454/6507/2775/3710/5332/2906/8605/6505/81539/2744/116444/2891/2914/5582/2792/54407/27165/2752/2900/775/2911/114/283748/2905/6512/2899/2912/2898/5579/2786/255189/2915/112/2902/246213/2918/23236/2903/123745/2917",40
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","12/2057","23/9399",0.521739130434783,2.38396990129145,3.51730022580112,0.00137615096355398,0.0114679246962831,0.00834657977894893,"477/6550/8671/5106/760/2744/5105/480/27165/486/2746/762",12
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","50/2057","154/9399",0.324675324675325,1.48353105329284,3.20227739245361,0.00143995687759311,0.011720579236223,0.00853046669222843,"477/153/816/782/815/5522/27092/779/5332/786/7134/6543/7139/148/91860/7137/64208/480/5502/6332/486/59283/185/775/114/5603/55799/90993/70/28227/784/154/163688/147/146/112/6330/810/3753/785/23236/6546/6331/5600/6300/487/4624/7169/6262/102723475",50
