"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0043605","amide catabolic process",16,-0.794205504739029,-2.47276573994984,2.71363638268811e-06,0.000112671669533255,8.9489349779491e-05,3016,"tags=75%, list=10%, signal=68%","9615/3034/148811/10157/51268/55821/7498/10841/144193/6999/131669/51166"
"GO:0070555","response to interleukin-1",111,-0.411320469762258,-2.02564848548131,2.91606913718795e-06,0.000120253136800227,9.55109218295573e-05,3925,"tags=37%, list=13%, signal=32%","952/9252/2729/3625/9572/1906/80149/10365/140885/10010/6622/4792/6609/54726/730249/11213/3373/59307/3554/6095/3280/2633/4615/6401/3037/6348/820/6347/2266/4824/2244/5740/3553/8564/3569/3556/3557/5105/6422/2690/1958"
"GO:0006720","isoprenoid metabolic process",119,-0.385109167541801,-1.90837100747848,2.96548624622602e-06,0.000121464713679879,9.64732154355462e-05,2811,"tags=29%, list=9%, signal=27%","54884/403313/8228/55825/57107/729920/317749/220/84649/5264/5950/3158/1562/54658/6715/8630/5959/285440/1571/130/126/1576/124/125/1559/64577/7054/8608/127/1558/9227/83875/1544/1557/1592"
"GO:0009081","branched-chain amino acid metabolic process",28,-0.68470198783148,-2.53612523520076,3.06593891364561e-06,0.000124532025811552,9.89094247272983e-05,4207,"tags=68%, list=14%, signal=59%","10295/3028/5096/56922/64087/10993/11112/5095/26275/1629/1892/3712/3155/152926/38/594/4329/36/54511"
"GO:0006809","nitric oxide biosynthetic process",75,-0.465434876243904,-2.161046313403,3.08145890328815e-06,0.000124532025811552,9.89094247272983e-05,4239,"tags=43%, list=14%, signal=37%","435/5447/207/406955/92/2185/1906/80149/10365/140885/22914/4775/23576/4842/7124/64581/54996/6095/1191/1524/9104/9314/7099/2643/3586/5740/445/3553/64902/3043/5743/2099"
"GO:0006638","neutral lipid metabolic process",132,-0.382859989930102,-1.85408243989754,3.1119370520222e-06,0.000124930876883169,9.92262117528724e-05,3286,"tags=32%, list=11%, signal=28%","2166/6622/51099/2710/8228/116255/23411/13/11343/10555/392636/338/718/11057/84649/3990/11145/350/9663/2538/84803/57406/4547/150379/9104/9388/1373/345/5106/6653/7148/847/10998/116519/150094/3949/7069/2180/5105/80168/84879/1071"
"GO:1901992","positive regulation of mitotic cell cycle phase transition",96,0.612566551968736,1.78796416450943,3.18263267814736e-06,0.000126928416414008,0.000100812755331344,3555,"tags=27%, list=12%, signal=24%","7015/220134/995/991/11065/332/9787/898/221150/983/113130/891/51514/990/6241/6491/993/9134/8317/27085/219736/80174/23236/286053/6604/9700"
"GO:0002367","cytokine production involved in immune response",125,-0.372555497047478,-1.8033844859174,3.43500762931996e-06,0.000136098145417893,0.000108095802521565,3647,"tags=27%, list=12%, signal=24%","4092/30009/5336/2865/57142/441168/7133/11213/23411/7124/3554/64581/3356/2867/114548/975/4615/383/10859/7098/2625/335/558/10666/7099/1178/8809/3586/11126/388325/91543/3553/3569/8013"
"GO:0000132","establishment of mitotic spindle orientation",36,0.740631177701689,1.95581648992602,3.60699647701039e-06,0.000141984497685954,0.000112771031345492,2363,"tags=33%, list=8%, signal=31%","162282/5080/1058/5347/10403/89958/126353/4085/26086/387755/54908/29899"
"GO:0030193","regulation of blood coagulation",69,-0.476379973586278,-2.14489645349718,3.74828264408467e-06,0.000146594125086718,0.000116432222845795,3627,"tags=46%, list=12%, signal=41%","7448/1906/462/5329/11117/79001/2155/5624/2152/4780/2161/2147/350/1361/3273/2160/5196/5627/710/7056/5345/2243/2266/5055/2244/5156/114897/3818/7057/5340/6915/5054"
"GO:0033539","fatty acid beta-oxidation using acyl-CoA dehydrogenase",12,-0.853465324089389,-2.47861053580897,4.22826212453072e-06,0.000164305929480162,0.000130499804032412,3353,"tags=83%, list=11%, signal=74%","37/2108/254013/84129/3712/34/2639/33/2110/35"
