"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019098","reproductive behavior","17/4095","45/18986",0.377777777777778,1.7515235381902,2.64677920791458,0.00967568164125157,0.071061492053909,0.0576024939814332,"MAPK8IP2/BRINP1/OXT/TACR1/CNR1/DBH/PI3/PPP1R1B/SERPINE2/EDNRB/AVPR1A/DRD5/DMRTA1/NHLH2/TH/OXTR/ABAT",17
"GO:0030574","collagen catabolic process","17/4095","45/18986",0.377777777777778,1.7515235381902,2.64677920791458,0.00967568164125157,0.071061492053909,0.0576024939814332,"FAP/MMP11/MMP9/MMP24/MMP20/MMP27/MMP13/ADAMTS14/ADAM15/MMP3/RETREG1/MMP14/MMP10/MMP1/MMP17/MMP12/PRSS2",17
"GO:0048701","embryonic cranial skeleton morphogenesis","17/4095","45/18986",0.377777777777778,1.7515235381902,2.64677920791458,0.00967568164125157,0.071061492053909,0.0576024939814332,"TBX15/SIX4/MTHFD1/DLX2/PRRX1/MTHFD1L/BMP4/SIX1/PDGFRA/TFAP2A/SLC39A1/NODAL/MMP14/SIX2/FOXC2/IRX5/LHX1",17
"GO:0009749","response to glucose","59/4095","206/18986",0.286407766990291,1.32789691430468,2.48138108812148,0.00984615361697126,0.0721823732611756,0.0585110810534087,"CFTR/ABCC8/PAX6/GIPR/PTPRN/TRPM5/CPB2/GCKR/NOX4/ANGPT2/TREM2/PCK2/SLC39A14/GCK/COL1A1/GYS2/GCG/EGR1/GJB6/ACVR1C/PFKFB2/PCK1/SOX4/NKX2-2/ANO1/NR0B2/LIN28A/GLUL/THBS1/KHK/PDX1/ILDR2/ABCA12/EPHA5/CLTRN/ADCY8/GIP/ACE/PRKAA2/SLC2A2/SLC9B2/SLC30A8/STXBP4/PRKCB/CYP7A1/GPR27/NPTX1/REG3A/BRSK2/PCSK1/LPL/TH/ADIPOQ/MAFA/C1QTNF12/EFNA5/PLA2G6/RFX6/KCNJ11",59
"GO:0050773","regulation of dendrite development","32/4095","100/18986",0.32,1.48364346764347,2.54287876792763,0.00985767361419511,0.0721823732611756,0.0585110810534087,"HECW1/CUL7/CAMK2B/LZTS1/SEZ6/TRPC5/CHRNA3/NFATC4/BMP7/EZH2/BMP5/NR2E1/DBN1/TLX2/BCL11A/PACSIN1/RAP2A/SYNE1/EPHB2/ADGRB3/KIAA0319/ITPKA/VLDLR/PTPRD/LRP8/DPYSL5/CHRNB2/CSMD3/MFSD2A/IL1RAPL1/ZNF296/DCC",32
"GO:0050000","chromosome localization","38/4095","123/18986",0.308943089430894,1.43237936408668,2.5227978591595,0.00986306994946378,0.0721823732611756,0.0585110810534087,"SPDL1/SPAG5/KIF22/NDC80/BIRC5/FAM83D/TTK/ECT2/NEK2/CENPF/KIF14/KIF18A/ZWINT/DLGAP5/SGO1/CCNB1/PSRC1/CDCA8/CENPE/KIF2C/NUF2/CDCA5/INCENP/DSN1/SPC25/SKA1/FMN2/KASH5/RACGAP1/SPC24/SPDYA/SKA3/TERB2/CDT1/CDK1/AURKB/KNTC1/KIFC1",38
"GO:0030324","lung development","57/4095","198/18986",0.287878787878788,1.33471713471713,2.48279342450562,0.00988277379009342,0.0722416844656125,0.0585591587562244,"ITGA3/CLDN18/TP73/WNT11/PHEX/SMPD3/CRISPLD2/FOXF1/WNT2/PLOD3/AGR2/LHX3/GLI1/PTK7/LOX/ERRFI1/TCF21/TBX4/DPPA4/SPDEF/BMP4/SOX9/FOXJ1/CHI3L1/HMGCS2/PDGFRA/SPRY2/STRA6/RBP4/SEC24B/ASCL1/CYP1A2/ABCA12/GPC3/RSPO2/SLC7A11/DLG5/DNAAF1/NODAL/MMP14/SIM2/ACE/PDPN/PKDCC/HHIP/ABCA3/MAP2K1/ZFPM2/HOPX/RXFP1/SOX11/ANXA2/CCBE1/PDGFA/ADAMTSL2/MIR17HG/MMP12",57
"GO:0010842","retina layer formation","11/4095","25/18986",0.44,2.04000976800977,2.72864555538884,0.00997301524841606,0.0727306076898539,0.0589554802556433,"SDK2/CALB1/SLC1A1/NDP/ATP8A2/TFAP2A/FOXN4/SDK1/PTF1A/DSCAM/LHX1",11
"GO:0046697","decidualization","11/4095","25/18986",0.44,2.04000976800977,2.72864555538884,0.00997301524841606,0.0727306076898539,0.0589554802556433,"PTGS2/CYP27B1/STC2/SPP1/NDP/STC1/CITED2/DCAF13/GJB2/JUNB/BSG",11
"GO:0032496","response to lipopolysaccharide","95/4095","354/18986",0.268361581920904,1.24422783744818,2.43241335479874,0.0102082274289489,0.0742788401561246,0.0602104785499736,"MPO/ABCC8/TBXA2R/NOS2/SELE/FMO1/CPS1/MAP2K3/PTGS2/CXCL2/TREM2/BDKRB1/PABPN1/PCK2/MMP9/E2F1/PYCARD/LILRB1/SERPINE1/CSF3/CCL2/CYP27B1/PLSCR4/KMO/TNFSF4/CNR1/CD274/TRIM6/GJB6/PTGFR/NR4A1/PCK1/PTGER2/IL1B/IL37/ZFP36/ASS1/GCH1/EPHB2/CD180/HMGCS2/CMPK2/EDNRB/IL6/IL10/TLR4/IRF8/DUSP10/S100A8/REN/ANKRD1/ADM/SCGB1A1/MMP3/NOCT/LY96/ACE/SPON2/PTGIR/ADAMTS13/SCIMP/ALPL/GBP2/CXCL5/PPBP/PF4/CAMP/HMGB2/HPGD/GJB2/AXL/IL12A/FOS/CD14/MYD88/TRIB1/SELP/PCSK1/THBD/TH/NQO1/IRAK1/FCAR/NUGGC/S100A14/SRC/PDCD1LG2/DIO2/IRGM/TLR9/DEFA3/LILRA2/UGT1A1/TIFAB/MRC1",95
